direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,ny,2025-07-11T14:45:00+00:00,3360.09,3360.09,3355.11,3.59714,3354.69429,3370.88143,2025-07-11T16:15:00+00:00,3354.69429,sl,18,-53.96,-58.16,False,up,True,4.5,compression,0.112,narrow,False
long,london,2025-07-14T08:15:00+00:00,3372.52,3372.52,3369.42,2.90143,3368.16786,3381.22429,2025-07-14T08:25:00+00:00,3368.16786,sl,2,-43.52,-47.72,False,up,True,5.0,compression,0.071,narrow,False
short,ny,2025-07-14T14:45:00+00:00,3341.2,3352.36,3341.2,3.47571,3346.41357,3330.77286,2025-07-14T15:05:00+00:00,3346.41357,sl,4,-52.14,-56.34,False,down,True,5.0,compression,0.254,narrow,False
short,london,2025-07-15T08:25:00+00:00,3362.09,3365.58,3362.09,1.94286,3365.00429,3356.26143,2025-07-15T10:05:00+00:00,3365.00429,sl,20,-29.14,-33.34,False,down,True,0.0,compression,0.083,narrow,True
short,ny,2025-07-15T14:50:00+00:00,3346.76,3352.06,3346.76,3.74929,3352.38393,3335.51214,2025-07-15T15:25:00+00:00,3335.51214,tp,7,112.48,108.28,False,up,False,0.0,compression,0.126,narrow,False
long,london,2025-07-16T08:50:00+00:00,3342.39,3342.39,3337.67,1.48643,3340.16036,3346.84929,2025-07-16T09:10:00+00:00,3340.16036,sl,4,-22.3,-26.5,False,up,True,4.5,compression,0.109,narrow,False
long,ny,2025-07-16T15:00:00+00:00,3326.05,3326.05,3319.7,5.72,3317.47,3343.21,2025-07-16T15:05:00+00:00,3343.21,tp,1,171.6,167.4,False,up,True,4.5,compression,0.147,narrow,True
short,london,2025-07-17T09:50:00+00:00,3325.52,3329.57,3325.52,1.86,3328.31,3319.94,2025-07-17T10:25:00+00:00,3328.31,sl,7,-27.9,-32.1,False,up,False,18.2,compression,0.091,narrow,False
long,ny,2025-07-17T14:50:00+00:00,3334.2,3334.2,3329.7,3.12,3329.52,3343.56,2025-07-17T20:50:00+00:00,3337.94,time,72,37.4,33.2,False,up,True,18.2,compression,0.101,narrow,False
long,london,2025-07-18T09:05:00+00:00,3350.35,3350.35,3347.17,1.88429,3347.52357,3356.00286,2025-07-18T11:45:00+00:00,3356.00286,tp,32,56.53,52.33,False,down,False,4.5,compression,0.075,narrow,False
short,ny,2025-07-18T15:00:00+00:00,3353.64,3357.2,3353.64,2.37857,3357.20786,3346.50429,2025-07-18T16:35:00+00:00,3357.20786,sl,19,-35.68,-39.88,False,down,True,4.5,compression,0.084,narrow,False
long,london,2025-07-21T08:20:00+00:00,3364.85,3364.85,3363.07,1.53786,3362.54321,3369.46357,2025-07-21T11:10:00+00:00,3369.46357,tp,34,46.14,41.94,False,up,True,0.0,compression,0.044,narrow,False
long,london,2025-07-22T08:15:00+00:00,3388.27,3388.27,3386.2,1.42857,3386.12714,3392.55571,2025-07-22T09:20:00+00:00,3386.12714,sl,13,-21.43,-25.63,False,up,True,4.8,compression,0.05,narrow,True
long,ny,2025-07-22T14:55:00+00:00,3427.63,3427.63,3421.51,4.29286,3421.19071,3440.50857,2025-07-22T20:55:00+00:00,3431.12,time,72,34.9,30.7,False,up,True,4.8,compression,0.149,narrow,False
long,london,2025-07-23T08:20:00+00:00,3425.19,3425.19,3420.57,2.19357,3421.89964,3431.77071,2025-07-23T09:15:00+00:00,3431.77071,tp,11,65.81,61.61,False,up,True,9.1,compression,0.11,narrow,False
short,ny,2025-07-23T15:00:00+00:00,3410.78,3416.71,3410.78,2.99857,3415.27786,3401.78429,2025-07-23T15:10:00+00:00,3415.27786,sl,2,-44.98,-49.18,False,up,False,9.1,compression,0.142,narrow,False
short,london,2025-07-24T09:15:00+00:00,3365.73,3369.73,3365.73,2.31214,3369.19821,3358.79357,2025-07-24T12:00:00+00:00,3358.79357,tp,33,69.36,65.16,False,up,False,18.2,compression,0.095,narrow,False
short,ny,2025-07-24T16:50:00+00:00,3373.4,3377.4,3373.4,1.71,3375.965,3368.27,2025-07-24T16:55:00+00:00,3368.27,tp,1,51.3,47.1,False,up,False,18.2,compression,0.095,narrow,False
short,london,2025-07-25T08:15:00+00:00,3353.19,3355.27,3353.19,1.98214,3356.16321,3347.24357,2025-07-25T08:25:00+00:00,3347.24357,tp,2,59.46,55.26,False,down,True,36.4,normal,0.047,narrow,False
short,ny,2025-07-25T14:50:00+00:00,3332.38,3338.81,3332.38,3.56286,3337.72429,3321.69143,2025-07-25T18:05:00+00:00,3337.72429,sl,39,-53.44,-57.64,False,up,False,36.4,normal,0.147,narrow,False
