variant,direction,entry_ts,entry_price,exit_ts,exit_price,sl,tp,atr,reason,bars_held,peak_price,peak_pips,pnl_pips,net_pips
LIVE,long,2026-02-10T08:20:00+00:00,5041.08,2026-02-10T08:50:00+00:00,5047.65,5030.93036,5061.37929,6.76643,scalp_trail,6,5051.21,101.3,65.7,61.5
LIVE,short,2026-02-10T14:55:00+00:00,5053.54,2026-02-10T15:05:00+00:00,5041.58,5070.16214,5020.29571,11.08143,scalp_trail,2,5034.99,185.5,119.6,115.4
LIVE,short,2026-02-11T08:15:00+00:00,5051.85,2026-02-11T08:35:00+00:00,5051.15,5061.00536,5033.53929,6.10357,scalp_trail,4,5048.0,38.5,7.0,2.8
LIVE,long,2026-02-11T16:40:00+00:00,5076.16,2026-02-11T17:30:00+00:00,5082.85,5060.46036,5107.55929,10.46643,scalp_trail,10,5088.47,123.1,66.9,62.7
LIVE,short,2026-02-12T08:35:00+00:00,5063.76,2026-02-12T08:55:00+00:00,5070.80893,5070.80893,5049.66214,4.69929,sl,4,5061.92,18.4,-70.49,-74.69
LIVE,short,2026-02-12T14:45:00+00:00,5053.66,2026-02-12T15:00:00+00:00,5053.57,5067.31107,5026.35786,9.10071,scalp_trail,3,5044.59,90.7,0.9,-3.3
LIVE,short,2026-02-13T09:35:00+00:00,4972.3,2026-02-13T10:20:00+00:00,4970.8,4982.63393,4951.63214,6.88929,scalp_trail,9,4966.59,57.1,15.0,10.8
LIVE,long,2026-02-13T15:40:00+00:00,5011.33,2026-02-13T15:45:00+00:00,4990.6375,4990.6375,5052.715,13.795,sl,1,5011.33,0.0,-206.93,-211.13
LIVE,long,2026-02-16T09:00:00+00:00,5013.34,2026-02-16T10:20:00+00:00,5005.76286,5005.76286,5028.49429,5.05143,sl,16,5015.71,23.7,-75.77,-79.97
LIVE,short,2026-02-16T15:05:00+00:00,4983.55,2026-02-16T15:20:00+00:00,4979.32,4992.43857,4965.77286,5.92571,scalp_trail,3,4976.52,70.3,42.3,38.1
LIVE,short,2026-02-17T08:40:00+00:00,4916.62,2026-02-17T09:00:00+00:00,4926.74821,4926.74821,4896.36357,6.75214,sl,4,4916.62,0.0,-101.28,-105.48
LIVE,short,2026-02-17T14:45:00+00:00,4867.29,2026-02-17T15:35:00+00:00,4864.81,4896.01607,4809.83786,19.15071,scalp_trail,10,4854.08,132.1,24.8,20.6
LIVE,short,2026-02-18T08:20:00+00:00,4926.74,2026-02-18T08:35:00+00:00,4925.49,4932.75179,4914.71643,4.00786,scalp_trail,3,4924.08,26.6,12.5,8.3
LIVE,long,2026-02-18T14:45:00+00:00,4986.05,2026-02-18T15:05:00+00:00,4998.06,4973.38786,5011.37429,8.44143,scalp_trail,4,5003.82,177.7,120.1,115.9
LIVE,long,2026-02-19T08:15:00+00:00,5012.15,2026-02-19T08:30:00+00:00,5012.06,5006.4725,5023.505,3.785,scalp_trail,3,5014.83,26.8,-0.9,-5.1
LIVE,long,2026-02-19T14:50:00+00:00,4995.42,2026-02-19T15:10:00+00:00,4999.6,4981.97464,5022.31071,8.96357,scalp_trail,4,5005.74,103.2,41.8,37.6
LIVE,long,2026-02-20T08:25:00+00:00,5016.47,2026-02-20T08:40:00+00:00,5022.59,5007.93071,5033.54857,5.69286,scalp_trail,3,5025.73,92.6,61.2,57.0
LIVE,long,2026-02-20T14:45:00+00:00,5054.87,2026-02-20T15:00:00+00:00,5043.31893,5043.31893,5077.97214,7.70071,sl,3,5058.7,38.3,-115.51,-119.71
LIVE,short,2026-02-23T08:20:00+00:00,5131.03,2026-02-23T08:30:00+00:00,5130.83,5141.14643,5110.79714,6.74429,scalp_trail,2,5125.46,55.7,2.0,-2.2
LIVE,long,2026-02-23T14:45:00+00:00,5190.96,2026-02-23T14:55:00+00:00,5192.52,5181.14786,5210.58429,6.54143,scalp_trail,2,5196.46,55.0,15.6,11.4
LIVE,short,2026-02-24T08:15:00+00:00,5169.6,2026-02-24T08:30:00+00:00,5179.9275,5179.9275,5148.945,6.885,sl,3,5169.6,0.0,-103.28,-107.48
LIVE,long,2026-02-24T15:40:00+00:00,5139.21,2026-02-24T15:50:00+00:00,5145.9,5125.36821,5166.89357,9.22786,scalp_trail,2,5152.65,134.4,66.9,62.7
LIVE,long,2026-02-25T08:15:00+00:00,5190.16,2026-02-25T08:40:00+00:00,5192.34,5183.12714,5204.22571,4.68857,scalp_trail,5,5195.34,51.8,21.8,17.6
LIVE,long,2026-02-25T15:00:00+00:00,5181.18,2026-02-25T15:10:00+00:00,5193.17,5169.47893,5204.58214,7.80071,scalp_trail,2,5195.62,144.4,119.9,115.7
