direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,london,2025-06-23T09:00:00+00:00,3363.18,3362.37,3357.6,2.28786,3359.74821,3370.04357,2025-06-23T11:00:00+00:00,3370.04357,tp,24,68.64,64.44,False,down,False,0.0,compression,0.094,narrow,False
long,ny,2025-06-23T14:50:00+00:00,3384.63,3383.94,3377.65,4.65714,3377.64429,3398.60143,2025-06-23T17:25:00+00:00,3377.64429,sl,31,-69.86,-74.06,False,up,True,0.0,compression,0.124,narrow,False
short,london,2025-06-24T08:50:00+00:00,3326.01,3332.17,3326.32,3.38643,3331.08964,3315.85071,2025-06-24T12:10:00+00:00,3315.85071,tp,40,101.59,97.39,False,up,False,0.0,compression,0.116,narrow,False
short,ny,2025-06-24T15:00:00+00:00,3300.34,3309.01,3301.91,4.31857,3306.81786,3287.38429,2025-06-24T15:20:00+00:00,3306.81786,sl,4,-64.78,-68.98,False,up,False,0.0,compression,0.141,narrow,False
short,london,2025-06-25T08:15:00+00:00,3327.23,3332.38,3327.89,2.70143,3331.28214,3319.12571,2025-06-25T12:45:00+00:00,3319.12571,tp,54,81.04,76.84,False,down,True,9.1,compression,0.087,narrow,False
long,ny,2025-06-25T14:50:00+00:00,3324.21,3323.45,3320.55,2.94071,3319.79893,3333.03214,2025-06-25T16:40:00+00:00,3333.03214,tp,22,88.22,84.02,False,up,True,9.1,compression,0.056,narrow,False
long,london,2025-06-26T08:45:00+00:00,3347.81,3347.39,3344.43,1.74286,3345.19571,3353.03857,2025-06-26T09:00:00+00:00,3345.19571,sl,3,-26.14,-30.34,False,up,True,0.0,compression,0.06,narrow,False
long,ny,2025-06-26T16:10:00+00:00,3325.81,3320.23,3311.99,1.87643,3322.99536,3331.43929,2025-06-26T16:30:00+00:00,3331.43929,tp,4,56.29,52.09,False,up,True,0.0,compression,0.167,narrow,False
short,london,2025-06-27T10:50:00+00:00,3281.89,3287.88,3282.37,2.80571,3286.09857,3273.47286,2025-06-27T11:00:00+00:00,3286.09857,sl,2,-42.09,-46.29,False,down,True,0.0,compression,0.117,narrow,False
short,ny,2025-06-27T14:45:00+00:00,3265.71,3278.02,3265.92,4.97143,3273.16714,3250.79571,2025-06-27T15:00:00+00:00,3273.16714,sl,3,-74.57,-78.77,False,down,True,0.0,compression,0.256,narrow,False
short,london,2025-06-30T08:50:00+00:00,3290.28,3296.59,3292.78,2.44429,3293.94643,3282.94714,2025-06-30T09:05:00+00:00,3282.94714,tp,3,73.33,69.13,False,down,True,5.0,compression,0.078,narrow,False
long,ny,2025-06-30T16:05:00+00:00,3291.27,3289.55,3284.03,2.36214,3287.72679,3298.35643,2025-06-30T17:00:00+00:00,3298.35643,tp,11,70.86,66.66,False,up,True,5.0,compression,0.113,narrow,False
long,london,2025-07-01T09:20:00+00:00,3342.75,3342.08,3337.71,1.98571,3339.77143,3348.70714,2025-07-01T10:45:00+00:00,3348.70714,tp,17,59.57,55.37,False,down,False,14.3,compression,0.089,narrow,False
short,ny,2025-07-01T14:50:00+00:00,3344.06,3352.52,3345.98,3.62429,3349.49643,3333.18714,2025-07-01T20:50:00+00:00,3339.01,time,72,50.5,46.3,False,down,True,14.3,compression,0.133,narrow,False
long,london,2025-07-02T08:15:00+00:00,3337.44,3335.88,3333.02,2.57357,3333.57964,3345.16071,2025-07-02T08:50:00+00:00,3333.57964,sl,7,-38.6,-42.8,False,up,True,9.1,compression,0.058,narrow,False
long,ny,2025-07-02T14:55:00+00:00,3343.01,3340.65,3337.03,2.74429,3338.89357,3351.24286,2025-07-02T15:15:00+00:00,3338.89357,sl,4,-41.16,-45.36,False,up,True,9.1,compression,0.074,narrow,False
long,london,2025-07-03T08:40:00+00:00,3357.48,3353.83,3352.56,2.05643,3354.39536,3363.64929,2025-07-03T09:00:00+00:00,3354.39536,sl,4,-30.85,-35.05,False,up,True,4.5,compression,0.027,narrow,False
short,ny,2025-07-03T14:50:00+00:00,3325.11,3331.15,3325.74,4.22929,3331.45393,3312.42214,2025-07-03T16:35:00+00:00,3331.45393,sl,21,-63.44,-67.64,False,down,True,4.5,compression,0.114,narrow,False
short,london,2025-07-04T09:20:00+00:00,3339.18,3344.11,3340.86,1.705,3341.7375,3334.065,2025-07-04T09:30:00+00:00,3334.065,tp,2,51.15,46.95,False,down,True,0.0,compression,0.069,narrow,False
